,time,year,latitude,longitude,ID,Duration,Species,PreWeightBlock,PreWeightEpoxied,PreVolume,PreRWDensity,PreCTDensity,PostWeightDirty,PostWeightClean,PostVolume,PostCTDensity,PostCTMacroboring,PostCTMacroboringRate,PostCTGrazing,PostCTGrazingRate,PostCTAccretion,PostCTAccretionRate
26,2014-05-26T00:00:00Z,2014,17.78532,-64.75953,4984,3.95,O.faveolata,12.0324,27.5485,11.243,1.070212577,,,27.9266,9.798331356,1.235390046,0.082423452,0.020877557,1.362245192,0.345051697,1.0142728,0.25691157
27,2014-05-26T00:00:00Z,2014,17.78532,-64.75953,4985,3.95,O.faveolata,15.6086,30.8748,11.569,1.349174518,,,32.1326,11.45001047,1.40225424,0.092036517,0.023312511,0.026953013,0.006827099,0.991175694,0.251061158
28,2016-09-12T00:00:00Z,2016,17.78532,-64.75953,3275,3,O. faveolata,16.5736,34.5211,11.2382,1.474755744,1.478839,40.701,36.449,10.3167,1.620056,-0.350721,-0.117015348,-1.272221,-0.424466691,1.94462,0.648807414
29,2016-09-12T00:00:00Z,2016,17.78532,-64.75953,3276,3,O. faveolata,16.5837,33.981,11.3579,1.46010266,1.475521,38.493,35.302,10.7554,1.611608,-0.120266,-0.04012582,-0.722766,-0.241145283,1.23924,0.413462836
30,2016-09-12T00:00:00Z,2016,17.78532,-64.75953,3277,3,O. faveolata,16.0866,33.0626,10.7935,1.490396998,1.499538,36.748,34.085,10.33,1.643328,-0.0485115,-0.016185487,-0.5120115,-0.170828675,0.915187,0.30534506
31,2016-09-12T00:00:00Z,2016,17.78532,-64.75953,3278,3,O. faveolata,14.9768,32.5074,10.4925,1.427381463,1.435978,34.084,33.038,9.69953,1.56612,-0.214208,-0.071468842,-1.007178,-0.336037146,0.51822,0.172900093
32,2016-09-12T00:00:00Z,2016,17.78532,-64.75953,3279,3,O. faveolata,17.7362,34.6669,11.6987,1.516082984,1.52625,39.075,36.413,11.1001,1.676176,-0.0522022,-0.01741686,-0.6508022,-0.217135118,1.35812,0.453126228
33,2016-09-12T00:00:00Z,2016,17.7338,-64.89639,3280,3,O. faveolata,16.3488,33.3465,11.2806,1.449284613,1.456502,35.553,33.366,9.98735,1.57068,-0.0735397,-0.024513233,-1.3667897,-0.455596567,0.617895,0.205965
34,2016-09-12T00:00:00Z,2016,17.7338,-64.89639,3281,3,O. faveolata,16.5543,33.6205,11.009,1.503706059,1.514966,36.392,34.111,9.89613,1.627768,-0.019063,-0.006354333,-1.131933,-0.377311,0.627955,0.209318333
35,2016-09-12T00:00:00Z,2016,17.7338,-64.89639,3282,3,O. faveolata,16.936,34.0613,11.3722,1.489245704,1.491187,36.007,33.844,9.98969,1.626984,-0.0358429,-0.011947633,-1.4183529,-0.4727843,0.731801,0.243933667
