time,latitude,longitude,RegionCode,SubRegion,SiteName,Depth,Location,InstrumentType,ProjectCode,tag_number,Fate,Deployment,Recovery,Duration,Species,BlockDimensions,PreWeightBlock,PreWeightEpoxied,PreVolume,PreRWDensity,PreCTDensity,PostWeightDirty,PostWeightClean,PostVolume,PostCTDensity,PostCTMacroboring,PostCTMacroboringRate,PostCTGrazing,PostCTGrazingRate,PostCTAccretion,PostCTAccretionRate,accession_url
UTC,degrees_north,degrees_east,,,,m,,,,,,UTC,UTC,years,,cm,g,g,cm3,g/cm3,g/cm3,g,g,cm3,g/cm3,cm3,cm3/yr,cm3,cm3/yr,cm3,cm3/yr,
2016-09-06T00:00:00Z,27.94055,-175.86165,PHR,,Pearl & Hermes,14.3256,PHR-52,BMU,NCRMP,1628,SUCCESSFULLY RECOVERED,2016-09-06T00:00:00Z,2019-09-05T00:00:00Z,3.0,P. lobata,5x2x1,16.1167,32.7763,11.9087,1.35335511,1.370608,33.036,28.225,7.66895,1.48444,-0.0022316,-7.44556E-4,-4.2419816,-1.415304334,0.485991,0.162147136,https://accession.nodc.noaa.gov/0236235
2016-09-06T00:00:00Z,27.94055,-175.86165,PHR,,Pearl & Hermes,14.3256,PHR-52,BMU,NCRMP,1629,SUCCESSFULLY RECOVERED,2016-09-06T00:00:00Z,2019-09-05T00:00:00Z,3.0,P. lobata,5x2x1,16.8993,33.937,11.6557,1.44987431,1.505,41.624,38.085,10.8036,1.600664,-0.00484943,-0.001617975,-0.85694943,-0.285914546,3.28323,1.095424282,https://accession.nodc.noaa.gov/0236235
2016-09-02T00:00:00Z,23.79247,-166.25372,FFS,,French Frigate,12.4968,FFS-41,BMU,NCRMP,1632,SUCCESSFULLY RECOVERED,2016-09-02T00:00:00Z,2019-08-27T00:00:00Z,2.99,P. lobata,5x2x1,17.1461,34.0783,12.9906,1.319885148,1.34976,34.972,32.335,10.4885,1.449024,-0.00668621,-0.002239103,-2.50878621,-0.840151661,0.787102,0.263587647,https://accession.nodc.noaa.gov/0236235
2016-08-23T00:00:00Z,21.47970546,-157.7830092,OAH,,Oahu,12.4968,OAH-22,BMU,NCRMP,1641,SUCCESSFULLY RECOVERED,2016-08-23T00:00:00Z,2019-08-04T00:00:00Z,2.95,P. lobata,5x2x1,13.488,30.1684,11.2301,1.201057871,1.2017464,25.364,23.062,3.60875,1.539312,-0.0132523,-0.004496539,-7.6346023,-2.590439989,0.81928,0.277983789,https://accession.nodc.noaa.gov/0236235
2016-08-23T00:00:00Z,21.47970546,-157.7830092,OAH,,Oahu,12.4968,OAH-22,BMU,NCRMP,1642,SUCCESSFULLY RECOVERED,2016-08-23T00:00:00Z,2019-08-04T00:00:00Z,2.95,P. lobata,5x2x1,16.9294,33.6797,11.7797,1.43716733,1.483456,36.67,34.008,10.6678,1.588432,-0.0264359,-0.008969768,-1.1383359,-0.386240268,1.12421,0.381447314,https://accession.nodc.noaa.gov/0236235
2016-08-23T00:00:00Z,21.47970546,-157.7830092,OAH,,Oahu,12.4968,OAH-22,BMU,NCRMP,1643,SUCCESSFULLY RECOVERED,2016-08-23T00:00:00Z,2019-08-04T00:00:00Z,2.95,P. lobata,5x2x1,17.4814,34.1561,12.6752,1.379181394,1.416856,31.757,28.781,7.54729,1.603224,-0.0293713,-0.009965757,-5.1572813,-1.749878669,0.616307,0.209114533,https://accession.nodc.noaa.gov/0236235
2016-08-23T00:00:00Z,21.47970546,-157.7830092,OAH,,Oahu,12.4968,OAH-22,BMU,NCRMP,1646,SUCCESSFULLY RECOVERED,2016-08-23T00:00:00Z,2019-08-04T00:00:00Z,2.95,P. lobata,5x2x1,15.8321,32.5478,12.2781,1.289458467,1.3086088,34.065,32.608,10.092,1.447704,-0.0209513,-0.007108829,-2.2070513,-0.748858123,1.37834,0.46767427,https://accession.nodc.noaa.gov/0236235
2016-08-23T00:00:00Z,21.47970546,-157.7830092,OAH,,Oahu,12.4968,OAH-22,BMU,NCRMP,1647,SUCCESSFULLY RECOVERED,2016-08-23T00:00:00Z,2019-08-04T00:00:00Z,2.95,P. lobata,5x2x1,14.9366,31.7484,11.5225,1.296298546,1.31912,33.757,30.588,8.89623,1.448552,-0.0229597,-0.007790285,-2.6492297,-0.898890379,0.755688,0.256406861,https://accession.nodc.noaa.gov/0236235
2016-08-20T00:00:00Z,21.59095,-158.17462,OAH,,Oahu,15.24,OAH-20,BMU,NCRMP,1649,SUCCESSFULLY RECOVERED,2016-08-20T00:00:00Z,2019-07-31T00:00:00Z,2.95,P. lobata,5x2x1,15.6355,32.4731,12.2885,1.272368475,1.2802528,31.512,30.405,10.1134,1.3824,-0.139586,-0.047361885,-2.314686,-0.78537885,0.237262,0.0805036,https://accession.nodc.noaa.gov/0236235
2016-08-19T00:00:00Z,21.53412,-158.23441,OAH,,Oahu,12.8016,OAH-25,BMU,NCRMP,1651,SUCCESSFULLY RECOVERED,2016-08-19T00:00:00Z,2019-08-02T00:00:00Z,2.95,P. lobata,5x2x1,15.0727,31.9588,12.4222,1.213368002,1.211556,32.284,30.858,10.6664,1.2933216,-0.203505,-0.068919849,-1.959305,-0.663546378,0.341881,0.115782841,https://accession.nodc.noaa.gov/0236235
2016-08-17T00:00:00Z,21.28838,-157.86536,OAH,,Oahu,13.716,OAH-23,BMU,NCRMP,1652,SUCCESSFULLY RECOVERED,2016-08-17T00:00:00Z,2019-05-07T00:00:00Z,2.72,P. lobata,5x2x1,16.5914,33.4438,13.6176,1.218379156,1.2242392,34.24,31.339,10.5065,1.3035352,-2.03777,-0.748568571,-5.14887,-1.891421633,0.964909,0.354456367,https://accession.nodc.noaa.gov/0236235
2016-08-17T00:00:00Z,21.28838,-157.86536,OAH,,Oahu,13.716,OAH-23,BMU,NCRMP,1655,SUCCESSFULLY RECOVERED,2016-08-17T00:00:00Z,2019-05-07T00:00:00Z,2.72,P. lobata,5x2x1,17.9333,34.8299,12.745,1.407085131,1.45472,35.574,31.4295,9.95674,1.47832,-2.29131,-0.841705714,-5.07957,-1.86596449,0.479279,0.176061673,https://accession.nodc.noaa.gov/0236235
